,Count,Interface ID,Encap Type,Time,Time Epoch,Time Delta,Time Delta Displayed,Time Relative,Number,Len,Cap Len,Marked,Ignored,Protocols
107,107,0,23,"Apr 13, 2017 15:56:41.670659000 Pacific Daylight Time",1492124201.670659000,0.010914000,0.102350000,11.161675000,7612,259,259,0,0,radiotap:wlan_radio:wlan
108,108,0,23,"Apr 13, 2017 15:56:41.773062000 Pacific Daylight Time",1492124201.773062000,0.008881000,0.102403000,11.264078000,7618,259,259,0,0,radiotap:wlan_radio:wlan
109,109,0,23,"Apr 13, 2017 15:56:41.875460000 Pacific Daylight Time",1492124201.875460000,0.006820000,0.102398000,11.366476000,7644,259,259,0,0,radiotap:wlan_radio:wlan
110,110,0,23,"Apr 13, 2017 15:56:41.979755000 Pacific Daylight Time",1492124201.979755000,0.005468000,0.104295000,11.470771000,7769,259,259,0,0,radiotap:wlan_radio:wlan
111,111,0,23,"Apr 13, 2017 15:56:42.101153000 Pacific Daylight Time",1492124202.101153000,0.000283000,0.121398000,11.592169000,7866,259,259,0,0,radiotap:wlan_radio:wlan
112,112,0,23,"Apr 13, 2017 15:56:42.182667000 Pacific Daylight Time",1492124202.182667000,0.000539000,0.081514000,11.673683000,7937,259,259,0,0,radiotap:wlan_radio:wlan
113,113,0,23,"Apr 13, 2017 15:56:42.286241000 Pacific Daylight Time",1492124202.286241000,0.000281000,0.103574000,11.777257000,8021,259,259,0,0,radiotap:wlan_radio:wlan
114,114,0,23,"Apr 13, 2017 15:56:42.392651000 Pacific Daylight Time",1492124202.392651000,0.000463000,0.106410000,11.883667000,8071,259,259,0,0,radiotap:wlan_radio:wlan
115,115,0,23,"Apr 13, 2017 15:56:42.489845000 Pacific Daylight Time",1492124202.489845000,0.007792000,0.097194000,11.980861000,8102,259,259,0,0,radiotap:wlan_radio:wlan
116,116,0,23,"Apr 13, 2017 15:56:42.592206000 Pacific Daylight Time",1492124202.592206000,0.059769000,0.102361000,12.083222000,8119,259,259,0,0,radiotap:wlan_radio:wlan
117,117,0,23,"Apr 13, 2017 15:56:42.696986000 Pacific Daylight Time",1492124202.696986000,0.000285000,0.104780000,12.188002000,8229,259,259,0,0,radiotap:wlan_radio:wlan
118,118,0,23,"Apr 13, 2017 15:56:42.797701000 Pacific Daylight Time",1492124202.797701000,0.000283000,0.100715000,12.288717000,8306,259,259,0,0,radiotap:wlan_radio:wlan
119,119,0,23,"Apr 13, 2017 15:56:42.899819000 Pacific Daylight Time",1492124202.899819000,0.000281000,0.102118000,12.390835000,8374,259,259,0,0,radiotap:wlan_radio:wlan
120,120,0,23,"Apr 13, 2017 15:56:43.001709000 Pacific Daylight Time",1492124203.001709000,0.002441000,0.101890000,12.492725000,8517,259,259,0,0,radiotap:wlan_radio:wlan
121,121,0,23,"Apr 13, 2017 15:56:43.104119000 Pacific Daylight Time",1492124203.104119000,0.011628000,0.102410000,12.595135000,8584,259,259,0,0,radiotap:wlan_radio:wlan
122,122,0,23,"Apr 13, 2017 15:56:43.214881000 Pacific Daylight Time",1492124203.214881000,0.000274000,0.110762000,12.705897000,8694,259,259,0,0,radiotap:wlan_radio:wlan
123,123,0,23,"Apr 13, 2017 15:56:43.310745000 Pacific Daylight Time",1492124203.310745000,0.000283000,0.095864000,12.801761000,8778,259,259,0,0,radiotap:wlan_radio:wlan
124,124,0,23,"Apr 13, 2017 15:56:43.411850000 Pacific Daylight Time",1492124203.411850000,0.000287000,0.101105000,12.902866000,8868,259,259,0,0,radiotap:wlan_radio:wlan
125,125,0,23,"Apr 13, 2017 15:56:43.516046000 Pacific Daylight Time",1492124203.516046000,0.005802000,0.104196000,13.007062000,8953,259,259,0,0,radiotap:wlan_radio:wlan
126,126,0,23,"Apr 13, 2017 15:56:43.617060000 Pacific Daylight Time",1492124203.617060000,0.005712000,0.101014000,13.108076000,9035,259,259,0,0,radiotap:wlan_radio:wlan
127,127,0,23,"Apr 13, 2017 15:56:43.720541000 Pacific Daylight Time",1492124203.720541000,0.005847000,0.103481000,13.211557000,9125,259,259,0,0,radiotap:wlan_radio:wlan
128,128,0,23,"Apr 13, 2017 15:56:43.825016000 Pacific Daylight Time",1492124203.825016000,0.000287000,0.104475000,13.316032000,9194,259,259,0,0,radiotap:wlan_radio:wlan
129,129,0,23,"Apr 13, 2017 15:56:43.924230000 Pacific Daylight Time",1492124203.924230000,0.000447000,0.099214000,13.415246000,9268,259,259,0,0,radiotap:wlan_radio:wlan
130,130,0,23,"Apr 13, 2017 15:56:44.032977000 Pacific Daylight Time",1492124204.032977000,0.000279000,0.108747000,13.523993000,9343,259,259,0,0,radiotap:wlan_radio:wlan
131,131,0,23,"Apr 13, 2017 15:56:44.128181000 Pacific Daylight Time",1492124204.128181000,0.000543000,0.095204000,13.619197000,9419,259,259,0,0,radiotap:wlan_radio:wlan
132,132,0,23,"Apr 13, 2017 15:56:44.231594000 Pacific Daylight Time",1492124204.231594000,0.000301000,0.103413000,13.722610000,9492,259,259,0,0,radiotap:wlan_radio:wlan
133,133,0,23,"Apr 13, 2017 15:56:44.336769000 Pacific Daylight Time",1492124204.336769000,0.000359000,0.105175000,13.827785000,9576,259,259,0,0,radiotap:wlan_radio:wlan
134,134,0,23,"Apr 13, 2017 15:56:44.439498000 Pacific Daylight Time",1492124204.439498000,0.000288000,0.102729000,13.930514000,9642,259,259,0,0,radiotap:wlan_radio:wlan
135,135,0,23,"Apr 13, 2017 15:56:44.543918000 Pacific Daylight Time",1492124204.543918000,0.000289000,0.104420000,14.034934000,9706,259,259,0,0,radiotap:wlan_radio:wlan
136,136,0,23,"Apr 13, 2017 15:56:44.742923000 Pacific Daylight Time",1492124204.742923000,0.000301000,0.199005000,14.233939000,9901,259,259,0,0,radiotap:wlan_radio:wlan
137,137,0,23,"Apr 13, 2017 15:56:44.848819000 Pacific Daylight Time",1492124204.848819000,0.000285000,0.105896000,14.339835000,9992,259,259,0,0,radiotap:wlan_radio:wlan
